record_type,event_type,time_point,contrast,estimate,ci_lower,ci_upper,bootstrap_success,cohort,analysis_sample,outcome_scale,n_episodes,n_persons,n_observations,bootstrap_attempts,model,notes
estimated_mean,widowhood,pre2,,-0.2183955692921852,-0.2701636106581347,-0.1632905336635958,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,widowhood,pre1,,-0.0172138573325998,-0.0775320974054932,0.0493519275190875,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,widowhood,event,,0.5019457005636697,0.4368303136114548,0.5753553968803122,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,widowhood,year2,,-0.2056108418288398,-0.268543438465243,-0.1366321181348442,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,widowhood,year4,,-0.2534692780924879,-0.330122507659134,-0.1751127041930498,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,pretrend_pre2_to_pre1,0.2011817119595854,0.1417905492580445,0.2576756861931791,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,acute_pre1_to_event,0.5191595578962696,0.4475217112829777,0.5909570237665371,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,early_recovery_event_to_year2,-0.7075565423925095,-0.7876080662816684,-0.6321489983050518,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,long_recovery_event_to_year4,-0.7554149786561577,-0.8432432074365775,-0.6629488669280328,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,persistence_pre1_to_year2,-0.1883969844962399,-0.2597052364759271,-0.1120099914516274,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,widowhood,,persistence_pre1_to_year4,-0.2362554207598881,-0.3278249504411336,-0.1535315265085213,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,unemployment,pre2,,-0.1469305291788803,-0.1908384853853845,-0.0976467508816494,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,unemployment,pre1,,-0.1291788657172432,-0.1723394358568711,-0.0825661399776076,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,unemployment,event,,0.1875239636099656,0.1414253526920594,0.2340263648837586,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,unemployment,year2,,-0.1758708749141611,-0.2311303845631813,-0.1217949124945092,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,unemployment,year4,,-0.1633584273256469,-0.2256007953522543,-0.1009546303353772,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,pretrend_pre2_to_pre1,0.017751663461637,-0.0205317603123536,0.0572296754859031,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,acute_pre1_to_event,0.3167028293272089,0.2768277533956729,0.3544035572912187,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,early_recovery_event_to_year2,-0.3633948385241268,-0.4182724513127466,-0.3134613243437267,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,long_recovery_event_to_year4,-0.3508823909356127,-0.4132756212373017,-0.2991620915326693,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,persistence_pre1_to_year2,-0.0466920091969179,-0.0992753224274714,0.0021709229856084,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,unemployment,,persistence_pre1_to_year4,-0.0341795616084037,-0.0877069789261613,0.0203794008297556,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,caregiving,pre2,,-0.2684149475056164,-0.3008822958555919,-0.2327250187121872,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,caregiving,pre1,,-0.2619671806932501,-0.294639447394063,-0.2284117692309573,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,caregiving,event,,-0.2089095287195013,-0.2418412710406519,-0.1749316845827226,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,caregiving,year2,,-0.232804506059797,-0.2668854826341953,-0.1975473504965327,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
estimated_mean,caregiving,year4,,-0.2219820967302847,-0.2581801679387355,-0.1854170160095154,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,caregiving,,pretrend_pre2_to_pre1,0.0064477668123662,-0.0080416362265264,0.0195104265717331,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,caregiving,,acute_pre1_to_event,0.0530576519737487,0.0398433085072225,0.0661415672434811,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,caregiving,,early_recovery_event_to_year2,-0.0238949773402956,-0.0404118019487042,-0.0096020418497209,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
contrast,caregiving,,long_recovery_event_to_year4,-0.0130725680107833,-0.0361049779729753,0.0078285039005251,500.0,UKHLS,primary_isolated,cohort_pre1_SD,38438,24781,143058.0,500.0,E,
