cohort,record_type,model,formula,n_episodes,n_persons,n_observations,n_fixed_effects,n_parameters,log_likelihood,AIC,BIC,fixed_variance,person_variance,episode_variance,residual_variance,marginal_R2,conditional_R2,converged,optimizer,optimizer_message,lrt_df,lrt_statistic,lrt_p_value,coefficient,estimate
UKHLS,model,U,z_outcome ~ time_point + event_type + calendar_time + baseline covariates + (1|person) + (1|episode),38438.0,24781.0,143058.0,22.0,25.0,-177678.0626799491,355406.1253598982,355652.9004954336,0.0537125074297665,0.4165129572293432,0.0252917482833515,0.5169011969059583,0.0530536652704768,0.4894391568962586,True,L-BFGS-B (best of five frozen starts),CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,
UKHLS,model,E,z_outcome ~ time_point * event_type + calendar_time + baseline covariates + (1|person) + (1|episode),38438.0,24781.0,143058.0,34.0,37.0,-177235.0766919976,354544.1533839952,354909.3805845876,0.0568294502901711,0.4164606202139201,0.0263250082799331,0.512640368218632,0.0561414121884414,0.4935662043246217,True,L-BFGS-B (best of five frozen starts),CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,,,,,
UKHLS,comparison,U_vs_E,Nested ML likelihood-ratio comparison on identical observations,,,,12.0,,885.9719759030268,-861.9719759030268,-743.519910846022,,,,,0.0030877469179645,0.004127047428363,True,,,12.0,885.9719759030268,5.9063214228142426e-182,,
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,Intercept,0.0014266108991784
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[pre2],-0.0188081482333463
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[event],0.1155784125345965
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year2],0.0398882017811825
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,time[year4],0.0492864939119419
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,event[unemployment],-0.0881924824247413
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,event[caregiving],-0.2798679153502745
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,event[health],-0.2283776854848843
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,age_centered,-0.0054390484833949
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,calendar_centered,0.0203902346547005
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,sex[female],0.2102497330758611
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[other_qualification],0.0402587845727003
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[no_qualification],0.0631724162223553
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,education[unknown],0.0600489975345215
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[family_care],0.0545062413231094
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[long_term_sick],0.034921042069437
UKHLS,fixed_effect,U,,38438.0,24781.0,143058.0,,,,,,,,,,,,True,,,,,,socio[other],0.7595669298931111
