record_type,cohort,validation,outcome_metric,outcome_formulation,model,base_model,candidate_model,comparison,metric,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,n_train_min,n_train_max,temporal_cutoff,bootstrap_success,bootstrap_attempts,notes
model_metric,HRS,grouped_10fold,acute,change,B0,,,,RMSE,1.029128281300503,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B0,,,,MAE,0.7548726161194755,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B0,,,,predictive_R2,0.0005363020318093,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B0,,,,mean_log_predictive_density,-1.448823805685041,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B0,,,,calibration_intercept,0.1024007463014714,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B0,,,,calibration_slope,0.5139897297077882,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,RMSE,1.0303085550444568,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,MAE,0.7556854321918215,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,predictive_R2,-0.0017575173646615,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,mean_log_predictive_density,-1.4500142465871728,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,calibration_intercept,0.1146984803442544,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B1,,,,calibration_slope,0.4548305414769545,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B2,,,,RMSE,1.027910535783712,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B2,,,,MAE,0.7562066088415541,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B2,,,,predictive_R2,0.0029001907320883,,,,1166,1049,1050,,,,
model_metric,HRS,grouped_10fold,acute,change,B2,,,,mean_log_predictive_density,-1.4476398151109924,,,,1166,1049,1050,,,,
