record_type,cohort,instrument,wave,item_position,item_concept,half,source_variable,variable_label,raw_valid_codes,missing_codes,scoring,reverse_coded,available,notes,episode_position,time_role,eligible_n,item_complete_n,item_complete_pct,n,statistic,estimate,scale,converged
item_metadata,UKHLS,GHQ-12,1.0,1.0,concentration,A,a_scghqa,GHQ: concentration,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,True,True,"{""1"": ""better than usual"", ""2"": ""same as usual"", ""3"": ""less than usual"", ""4"": ""much less than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,2.0,loss_of_sleep,A,a_scghqb,GHQ: loss of sleep,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,False,True,"{""1"": ""not at all"", ""2"": ""no more than usual"", ""3"": ""rather more than usual"", ""4"": ""much more than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,3.0,useful_role,A,a_scghqc,GHQ: playing a useful role,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,True,True,"{""2"": ""same as usual"", ""1"": ""more so than usual"", ""3"": ""less so than usual"", ""4"": ""much less than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,4.0,making_decisions,B,a_scghqd,GHQ: capable of making decisions,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,True,True,"{""1"": ""more so than usual"", ""2"": ""same as usual"", ""3"": ""less so than usual"", ""4"": ""much less capable"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,5.0,under_strain,A,a_scghqe,GHQ: constantly under strain,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,False,True,"{""1"": ""not at all"", ""2"": ""no more than usual"", ""3"": ""rather more than usual"", ""4"": ""much more than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,6.0,overcoming_difficulties,B,a_scghqf,GHQ: problem overcoming difficulties,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,False,True,"{""1"": ""not at all"", ""2"": ""no more than usual"", ""3"": ""rather more than usual"", ""4"": ""much more than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,7.0,enjoy_activities,A,a_scghqg,GHQ: enjoy day-to-day activities,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,True,True,"{""2"": ""same as usual"", ""4"": ""much less than usual"", ""1"": ""more so than usual"", ""3"": ""less so than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,8.0,face_problems,B,a_scghqh,GHQ: ability to face problems,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,True,True,"{""1"": ""more so than usual"", ""2"": ""same as usual"", ""3"": ""less able than usual"", ""4"": ""much less able"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,9.0,unhappy_depressed,A,a_scghqi,GHQ: unhappy or depressed,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,False,True,"{""1"": ""not at all"", ""2"": ""no more than usual"", ""3"": ""rather more than usual"", ""4"": ""much more than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
item_metadata,UKHLS,GHQ-12,1.0,10.0,losing_confidence,B,a_scghqj,GHQ: losing confidence,"1,2,3,4","-9,-8,-7,-2,-1",raw minus 1; 0-3 distress orientation,False,True,"{""1"": ""not at all"", ""2"": ""no more than usual"", ""3"": ""rather more than usual"", ""4"": ""much more than usual"", ""-9"": ""missing"", ""-8"": ""inapplicable"", ""-2"": ""refusal"", ""-1"": ""don't know"", ""-7"": ""proxy""}",,,,,,,,,,
