source_table,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,comparison,estimate,ci_lower,ci_upper,benchmark,upper_below,interval_crosses,lower_above,eu_predictive_R2_gain,gain_to_abs_eu_ratio,same_order_of_magnitude_as_eu,n_persons,notes
baseline_information_decomposition,HRS,grouped_10fold,acute,change,context,B2_minus_B0,0.002363888700279,-0.0067556210026704,0.0107291370653582,0.0025,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,change,context,B2_minus_B0,0.002363888700279,-0.0067556210026704,0.0107291370653582,0.005,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,change,context,B2_minus_B0,0.002363888700279,-0.0067556210026704,0.0107291370653582,0.01,False,True,False,0.0049367170673443,0.4788381971322266,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,change,current_state,B4_minus_B3,-0.0013824136213311,-0.0030133720300578,0.0003491087065247,0.0025,True,False,False,0.0049367170673443,-0.2800269090719529,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,change,current_state,B4_minus_B3,-0.0013824136213311,-0.0030133720300578,0.0003491087065247,0.005,True,False,False,0.0049367170673443,-0.2800269090719529,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,change,current_state,B4_minus_B3,-0.0013824136213311,-0.0030133720300578,0.0003491087065247,0.01,True,False,False,0.0049367170673443,-0.2800269090719529,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,context,B2_minus_B0,-0.0012868983700553,-0.0028889554166388,0.0003235973258084,0.0025,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,context,B2_minus_B0,-0.0012868983700553,-0.0028889554166388,0.0003235973258084,0.005,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,context,B2_minus_B0,-0.0012868983700553,-0.0028889554166388,0.0003235973258084,0.01,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,-0.0012868983700553,-0.0026830733301665,0.000293107695612,0.0025,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,-0.0012868983700553,-0.0026830733301665,0.000293107695612,0.005,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,-0.0012868983700553,-0.0026830733301665,0.000293107695612,0.01,True,False,False,0.0049367170673443,-0.2606789800792941,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0370141446803305,0.007937830118734,0.0613648292905646,0.0025,False,False,True,0.0049367170673443,7.497724535435511,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0370141446803305,0.007937830118734,0.0613648292905646,0.005,False,False,True,0.0049367170673443,7.497724535435511,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0370141446803305,0.007937830118734,0.0613648292905646,0.01,False,True,False,0.0049367170673443,7.497724535435511,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.002006985971008,-0.005151799023959,0.0103551835051789,0.0025,False,True,False,0.0049367170673443,0.4065426362559741,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.002006985971008,-0.005151799023959,0.0103551835051789,0.005,False,True,False,0.0049367170673443,0.4065426362559741,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.002006985971008,-0.005151799023959,0.0103551835051789,0.01,False,True,False,0.0049367170673443,0.4065426362559741,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0019162202436865,-0.0052213094661841,0.0089019588035931,0.0025,False,True,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0019162202436865,-0.0052213094661841,0.0089019588035931,0.005,False,True,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0019162202436865,-0.0052213094661841,0.0089019588035931,0.01,True,False,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0019162202436865,-0.0046966769436749,0.0081954107098334,0.0025,False,True,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0019162202436865,-0.0046966769436749,0.0081954107098334,0.005,False,True,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0019162202436865,-0.0046966769436749,0.0081954107098334,0.01,True,False,False,0.0049367170673443,0.3881567887214098,True,1166,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,context,B2_minus_B0,0.009386695761822,-0.0020248943944429,0.018760916935637,0.0025,False,True,False,0.0042834080677893,2.191408246253455,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,context,B2_minus_B0,0.009386695761822,-0.0020248943944429,0.018760916935637,0.005,False,True,False,0.0042834080677893,2.191408246253455,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,context,B2_minus_B0,0.009386695761822,-0.0020248943944429,0.018760916935637,0.01,False,True,False,0.0042834080677893,2.191408246253455,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,current_state,B4_minus_B3,0.0001318878674796,-0.0002337781754199,0.0004839737025806,0.0025,True,False,False,0.0042834080677893,0.0307904046012849,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,current_state,B4_minus_B3,0.0001318878674796,-0.0002337781754199,0.0004839737025806,0.005,True,False,False,0.0042834080677893,0.0307904046012849,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,change,current_state,B4_minus_B3,0.0001318878674796,-0.0002337781754199,0.0004839737025806,0.01,True,False,False,0.0042834080677893,0.0307904046012849,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,0.0001264244509755,-0.0001976590434341,0.0005263244013445,0.0025,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,0.0001264244509755,-0.0001976590434341,0.0005263244013445,0.005,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,0.0001264244509755,-0.0001976590434341,0.0005263244013445,0.01,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,0.0001264244509755,-0.0002605346237744,0.0005109796357026,0.0025,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,0.0001264244509755,-0.0002605346237744,0.0005109796357026,0.005,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,0.0001264244509755,-0.0002605346237744,0.0005109796357026,0.01,True,False,False,0.0042834080677893,0.0295149210569604,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,context,B2_minus_B0,0.0598860525069849,0.0212981072092111,0.0996085661552179,0.0025,False,False,True,0.0042834080677893,13.980935637984318,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,context,B2_minus_B0,0.0598860525069849,0.0212981072092111,0.0996085661552179,0.005,False,False,True,0.0042834080677893,13.980935637984318,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,context,B2_minus_B0,0.0598860525069849,0.0212981072092111,0.0996085661552179,0.01,False,False,True,0.0042834080677893,13.980935637984318,False,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,current_state,B4_minus_B3,0.0068920786601285,-0.0021237953432829,0.0156689004732322,0.0025,False,True,False,0.0042834080677893,1.6090175278783527,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,current_state,B4_minus_B3,0.0068920786601285,-0.0021237953432829,0.0156689004732322,0.005,False,True,False,0.0042834080677893,1.6090175278783527,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,change,current_state,B4_minus_B3,0.0068920786601285,-0.0021237953432829,0.0156689004732322,0.01,False,True,False,0.0042834080677893,1.6090175278783527,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,0.0072636404339204,-0.0021225709439911,0.0173465069606769,0.0025,False,True,False,0.0042834080677893,1.6957619537914566,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,0.0072636404339204,-0.0021225709439911,0.0173465069606769,0.005,False,True,False,0.0042834080677893,1.6957619537914566,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,0.0072636404339204,-0.0021225709439911,0.0173465069606769,0.01,False,True,False,0.0042834080677893,1.6957619537914566,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,0.0072636404339204,-0.0016267081470674,0.0170606542374799,0.0025,False,True,False,0.0042834080677893,1.6957619537914566,True,340,"benchmarks are predictive-statistical, not clinical"
baseline_information_decomposition,HRS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,0.0072636404339204,-0.0016267081470674,0.0170606542374799,0.005,False,True,False,0.0042834080677893,1.6957619537914566,True,340,"benchmarks are predictive-statistical, not clinical"
