record_type,cohort,validation,outcome_metric,outcome_formulation,baseline_scope,comparison_key,estimate,ci_lower,ci_upper,bootstrap_se,n_persons,pool_method,Q,I2,notes
cohort,HRS,grouped_10fold,acute,change,context,B2_minus_B0,0.002363888700279,-0.0067556210026704,0.0107291370653582,0.0046352571367202,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,acute,change,current_state,B4_minus_B3,-0.0013824136213311,-0.0030133720300578,0.0003491087065247,0.0008371007769032,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,acute,ancova_level,context,B2_minus_B0,-0.0012868983700553,-0.0028889554166388,0.0003235973258084,0.0008248693099516,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,-0.0012868983700553,-0.0026830733301665,0.000293107695612,0.0008110763335182,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,persistence,change,context,B2_minus_B0,0.0370141446803305,0.007937830118734,0.0613648292905646,0.013841529569716,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,persistence,change,current_state,B4_minus_B3,0.002006985971008,-0.005151799023959,0.0103551835051789,0.0039312345491997,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,persistence,ancova_level,context,B2_minus_B0,0.0019162202436865,-0.0052213094661841,0.0089019588035931,0.0036586945132613,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,grouped_10fold,persistence,ancova_level,current_state,B4_minus_B3,0.0019162202436865,-0.0046966769436749,0.0081954107098334,0.0034551663397788,1166,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,acute,change,context,B2_minus_B0,0.009386695761822,-0.0020248943944429,0.018760916935637,0.0052180095328127,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,acute,change,current_state,B4_minus_B3,0.0001318878674796,-0.0002337781754199,0.0004839737025806,0.0001974132307417,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,acute,ancova_level,context,B2_minus_B0,0.0001264244509755,-0.0001976590434341,0.0005263244013445,0.0001798184087961,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,acute,ancova_level,current_state,B4_minus_B3,0.0001264244509755,-0.0002605346237744,0.0005109796357026,0.0001885622650987,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,persistence,change,context,B2_minus_B0,0.0598860525069849,0.0212981072092111,0.0996085661552179,0.0202966789677436,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,persistence,change,current_state,B4_minus_B3,0.0068920786601285,-0.0021237953432829,0.0156689004732322,0.0046011033007798,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,persistence,ancova_level,context,B2_minus_B0,0.0072636404339204,-0.0021225709439911,0.0173465069606769,0.0048744279706305,340,,,,cohort-specific person-bootstrap estimate
cohort,HRS,temporal_70_30,persistence,ancova_level,current_state,B4_minus_B3,0.0072636404339204,-0.0016267081470674,0.0170606542374799,0.0048272264431109,340,,,,cohort-specific person-bootstrap estimate
cohort,UKHLS,grouped_10fold,acute,change,context,B2_minus_B0,-0.001345926778569,-0.0022687074746132,-0.0004525169621687,0.0004790728740231,1956,,,,cohort-specific person-bootstrap estimate
cohort,UKHLS,grouped_10fold,acute,change,current_state,B4_minus_B3,9.180754289572768e-05,-0.0027723644007561,0.0029569898114888,0.0014444224050247,1956,,,,cohort-specific person-bootstrap estimate
cohort,UKHLS,grouped_10fold,acute,ancova_level,context,B2_minus_B0,8.982992743766793e-05,-0.0026437072095575,0.002794803715419,0.0014421496683224,1956,,,,cohort-specific person-bootstrap estimate
cohort,UKHLS,grouped_10fold,acute,ancova_level,current_state,B4_minus_B3,8.982992743766793e-05,-0.0025795734563084,0.0030058767889027,0.0014519403829855,1956,,,,cohort-specific person-bootstrap estimate
