sample_id,cohort,analysis,role,variant,outcome,event_family,persons,target_rows,history_rows,preregistration_expected_persons,rows_match_registered_count,current_pre1_complete,pre2_complete,age_known,sex_known,education_known,participants_with_shared_history_observations,count_suppressed,public_release_note
multi_HRS_acute_nonoverlap,HRS,multi_event,secondary,nonoverlap,acute,multiple,188,188,382,188,True,188,188,188,188,188,0,false,
multi_HRS_acute_overlap_allowed,HRS,multi_event,secondary,overlap_allowed,acute,multiple,270,270,561,270,True,270,,270,270,270,,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
multi_UKHLS_acute_nonoverlap,UKHLS,multi_event,primary,nonoverlap,acute,multiple,1089,1089,2239,1089,True,1089,1042,1089,1089,862,0,false,
multi_UKHLS_acute_overlap_allowed,UKHLS,multi_event,secondary,overlap_allowed,acute,multiple,1603,1603,3400,1603,True,1603,1530,1603,1603,1294,514,false,
recurrence_HRS_caregiving_acute,HRS,recurrence,secondary,same_domain,acute,caregiving,164,164,164,164,True,164,,164,164,164,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_HRS_caregiving_persistence,HRS,recurrence,secondary,same_domain,persistence,caregiving,126,126,126,126,True,126,,126,126,126,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_HRS_health_acute,HRS,recurrence,secondary,same_domain,acute,health,112,112,112,112,True,112,112,112,112,112,0,false,
recurrence_HRS_health_persistence,HRS,recurrence,secondary,same_domain,persistence,health,85,85,85,85,True,85,85,85,85,85,0,false,
recurrence_HRS_unemployment_acute,HRS,recurrence,secondary,same_domain,acute,unemployment,57,57,57,57,True,57,,57,57,57,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_HRS_unemployment_persistence,HRS,recurrence,secondary,same_domain,persistence,unemployment,45,45,45,45,True,45,,45,45,45,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_UKHLS_caregiving_acute,UKHLS,recurrence,primary,same_domain,acute,caregiving,1990,1990,1990,1990,True,1990,1882,1990,1990,1586,0,false,
recurrence_UKHLS_caregiving_persistence,UKHLS,recurrence,primary,same_domain,persistence,caregiving,1033,1033,1033,1033,True,1033,990,1033,1033,824,0,false,
recurrence_UKHLS_financial_strain_acute,UKHLS,recurrence,secondary,same_domain,acute,financial_strain,1179,1179,1179,1179,True,1179,1093,1179,1179,921,0,false,
recurrence_UKHLS_financial_strain_persistence,UKHLS,recurrence,secondary,same_domain,persistence,financial_strain,548,548,548,548,True,548,510,548,548,434,0,false,
recurrence_UKHLS_health_acute,UKHLS,recurrence,secondary,same_domain,acute,health,624,624,624,624,True,624,,624,624,511,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_UKHLS_health_persistence,UKHLS,recurrence,secondary,same_domain,persistence,health,396,396,396,396,True,396,,396,396,322,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_UKHLS_unemployment_acute,UKHLS,recurrence,secondary,same_domain,acute,unemployment,90,90,90,90,True,90,,90,90,74,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
recurrence_UKHLS_unemployment_persistence,UKHLS,recurrence,secondary,same_domain,persistence,unemployment,46,46,46,46,True,46,,46,46,,0,true,Auxiliary completeness counts suppressed in the public release to prevent recovery of counts from 1 through 10; persons is retained.
