case_id,sample_id,cohort,analysis,event_family,outcome,variant,benchmark,representation,base_role,n_parent,n_complete,missing_excluded,temporal_cutoff,temporal_train_n,temporal_test_n,temporal_person_overlap_excluded,run_id,formulation,scale,analysis_role,validation,row_type,term,metric,estimate,ci_lower,ci_upper,n_evaluated,n_finite_model_predictions,bootstrap_successful,bootstrap_attempted,bootstrap_seed,status,interval_status,increment_definition
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,calibration_intercept,0.0876507820155654,0.0254132766392886,0.1853331290997243,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,calibration_slope,-0.0450958919807836,-0.0909130745411641,-0.0116569457312686,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,mae,0.0331276094163082,0.0103460239233517,0.0611914452698384,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,mean_log_predictive_density,-0.0420233191695349,-0.0952591758783291,-0.0087213962503565,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,predictive_r2,-0.0371495150816809,-0.0790780771594275,-0.0082283867548777,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R1-R0,rmse,0.0535951214477672,0.0114105810067172,0.1142512535415191,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R3-R2,calibration_intercept,0.087650782015566,0.0254132766392893,0.1853331290997248,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R3-R2,calibration_slope,-0.045095891980784,-0.0909130745411642,-0.0116569457312691,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R3-R2,mae,0.0331276094163082,0.0103460239233521,0.0611914452698384,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
recurrence_HRS_caregiving_acute__main__same_response,recurrence_HRS_caregiving_acute,HRS,recurrence,caregiving,acute,same_domain,main,same_response,secondary,164,164,0,2014-06-15,119,45,0,dd27935928180ef3,ancova_level,raw,secondary,grouped_cv,increment,R3-R2,mean_log_predictive_density,-0.0420233191695358,-0.0952591758783293,-0.0087213962503568,164,164,500,500,1658075760,estimated,500_paired_person_resamples,augmented_minus_baseline
