display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,time_point,n_episodes,n_observations
1,UKHLS,widowhood,UKHLS,,main trajectory analysis,not applicable,-0.2183955692921852,-0.2701636106581347,-0.1632905336635958,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,0,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,38438,143058.0
2,UKHLS,widowhood,UKHLS,,main trajectory analysis,not applicable,-0.0172138573325998,-0.0775320974054932,0.0493519275190875,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,1,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,38438,143058.0
3,UKHLS,widowhood,UKHLS,,main trajectory analysis,not applicable,0.5019457005636697,0.4368303136114548,0.5753553968803122,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,2,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,38438,143058.0
4,UKHLS,widowhood,UKHLS,,main trajectory analysis,not applicable,-0.2056108418288398,-0.268543438465243,-0.1366321181348442,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,3,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,38438,143058.0
5,UKHLS,widowhood,UKHLS,,main trajectory analysis,not applicable,-0.2534692780924879,-0.330122507659134,-0.1751127041930498,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,4,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""widowhood"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,38438,143058.0
6,UKHLS,unemployment,UKHLS,,main trajectory analysis,not applicable,-0.1469305291788803,-0.1908384853853845,-0.0976467508816494,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,11,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,38438,143058.0
7,UKHLS,unemployment,UKHLS,,main trajectory analysis,not applicable,-0.1291788657172432,-0.1723394358568711,-0.0825661399776076,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,12,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre1""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre1,38438,143058.0
8,UKHLS,unemployment,UKHLS,,main trajectory analysis,not applicable,0.1875239636099656,0.1414253526920594,0.2340263648837586,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,13,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""event""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,event,38438,143058.0
9,UKHLS,unemployment,UKHLS,,main trajectory analysis,not applicable,-0.1758708749141611,-0.2311303845631813,-0.1217949124945092,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,14,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year2,38438,143058.0
10,UKHLS,unemployment,UKHLS,,main trajectory analysis,not applicable,-0.1633584273256469,-0.2256007953522543,-0.1009546303353772,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,15,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""unemployment"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""year4""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,year4,38438,143058.0
11,UKHLS,caregiving,UKHLS,,main trajectory analysis,not applicable,-0.2684149475056164,-0.3008822958555919,-0.2327250187121872,24781,source_data/analysis_outputs/NMH_confirmatory/03_trajectory_estimates.csv,22,"{""analysis_sample"": ""primary_isolated"", ""cohort"": ""UKHLS"", ""event_type"": ""caregiving"", ""model"": ""E"", ""record_type"": ""estimated_mean"", ""time_point"": ""pre2""}",estimate,n_persons,ci_lower;ci_upper,cohort pre1 SD,,pre2,38438,143058.0
