display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
1,A Complete items,earlier event,HRS,,descriptive,not applicable,0.9939965694682676,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,292,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""event""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
2,A Complete items,earlier pre1,HRS,,descriptive,not applicable,0.9957118353344768,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,294,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""pre1""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
3,A Complete items,earlier year2,HRS,,descriptive,not applicable,0.9957118353344768,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,296,"{""cohort"": ""HRS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""year2""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
4,A Complete items,later event,HRS,,descriptive,not applicable,0.983704974271012,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,298,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""event""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
5,A Complete items,later pre1,HRS,,descriptive,not applicable,0.9914236706689536,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,300,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""pre1""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
6,A Complete items,later year2,HRS,,descriptive,not applicable,0.9725557461406518,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,302,"{""cohort"": ""HRS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""year2""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
7,A Complete items,earlier event,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,304,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""event""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
8,A Complete items,earlier pre1,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,306,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""pre1""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
9,A Complete items,earlier year2,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,308,"{""cohort"": ""UKHLS"", ""episode_position"": ""earlier"", ""record_type"": ""completeness"", ""time_role"": ""year2""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
10,A Complete items,later event,UKHLS,,descriptive,not applicable,1.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/03_item_level_measurement_audit.csv,310,"{""cohort"": ""UKHLS"", ""episode_position"": ""later"", ""record_type"": ""completeness"", ""time_role"": ""event""}",item_complete_pct,eligible_n,,proportion 0 to 1 despite source column name pct,all eligible two-event participants at the specified occasion
