display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes
1,Trajectory cohort,Isolated primary trajectories,UKHLS,,main trajectory analysis,not applicable,24781.0,,,24781.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,4,"{""cohort"": ""UKHLS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_age_and_binary_sex""}",n_persons,n_persons,,persons,Collapsed episode counts.
2,A Cross domain,One earlier different family,UKHLS,acute,primary cross-adversity analysis,grouped_10fold,1956.0,,,1956.0,source_data/analysis_outputs/NMH_measurement_adjudication/01_baseline_information_decomposition.csv,370,"{""cohort"": ""UKHLS"", ""metric"": ""predictive_R2"", ""model"": ""B0"", ""outcome_formulation"": ""change"", ""outcome_metric"": ""acute"", ""record_type"": ""model_metric"", ""validation"": ""grouped_10fold""}",n_persons,n_persons,ci_lower;ci_upper,persons,
3,B Recurrence,Caregiving acute,UKHLS,acute,primary,not applicable,1990.0,,,1990.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,10,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""sample_id"": ""recurrence_UKHLS_caregiving_acute""}",persons,persons,,persons,
4,B Recurrence,Caregiving persistence,UKHLS,persistence,primary,not applicable,1033.0,,,1033.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,11,"{""analysis"": ""recurrence"", ""cohort"": ""UKHLS"", ""sample_id"": ""recurrence_UKHLS_caregiving_persistence""}",persons,persons,,persons,
5,C Multiple histories,At least two prior acute responses,UKHLS,acute,primary,not applicable,1089.0,,,1089.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,2,"{""analysis"": ""multi_event"", ""cohort"": ""UKHLS"", ""sample_id"": ""multi_UKHLS_acute_nonoverlap""}",persons,persons,,persons,
6,Trajectory cohort,Isolated primary trajectories,HRS,,main trajectory analysis,not applicable,13073.0,,,13073.0,source_data/analysis_outputs/NMH_confirmatory/01_event_harmonization_and_sample_flow.csv,22,"{""cohort"": ""HRS"", ""event_type"": ""all"", ""record_type"": ""sample_flow"", ""stage"": ""valid_age_and_binary_sex""}",n_persons,n_persons,,persons,Collapsed episode counts.
7,A Cross domain,One earlier different family,HRS,acute,independent conceptual replication,grouped_10fold,1166.0,,,1166.0,source_data/analysis_outputs/NMH_measurement_adjudication/01_baseline_information_decomposition.csv,2,"{""cohort"": ""HRS"", ""metric"": ""predictive_R2"", ""model"": ""B0"", ""outcome_formulation"": ""change"", ""outcome_metric"": ""acute"", ""record_type"": ""model_metric"", ""validation"": ""grouped_10fold""}",n_persons,n_persons,ci_lower;ci_upper,persons,
8,B Recurrence,Caregiving acute,HRS,acute,secondary,not applicable,164.0,,,164.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,4,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""sample_id"": ""recurrence_HRS_caregiving_acute""}",persons,persons,,persons,
9,B Recurrence,Caregiving persistence,HRS,persistence,secondary,not applicable,126.0,,,126.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,5,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""sample_id"": ""recurrence_HRS_caregiving_persistence""}",persons,persons,,persons,
10,C Multiple histories,At least two prior acute responses,HRS,acute,secondary,not applicable,188.0,,,188.0,source_data/analysis_outputs/NMH_registered_extension/01_sample_counts.csv,0,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""sample_id"": ""multi_HRS_acute_nonoverlap""}",persons,persons,,persons,
