display_row,panel,label,cohort,outcome,analysis_role,validation,estimate,ci_lower,ci_upper,n,source_file,source_row_0based,source_filter,source_estimate_column,source_n_column,source_ci_columns,unit,notes,contrast,representation,variant,event_family,n_complete,temporal_cutoff
1,C Multiple acute histories,Current pre1 instead of earlier pre2,HRS,acute,secondary,grouped_cv,0.1233147693441314,0.0311904933022175,0.1997112048693276,188,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,256,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,mean,nonoverlap,multiple,188,2016-05-15
2,C Multiple acute histories,Add pre2 after current pre1,HRS,acute,secondary,grouped_cv,-0.0009397366190792,-0.0141547768726406,0.0134647526706967,188,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,262,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,mean,nonoverlap,multiple,188,2016-05-15
3,C Multiple acute histories,History after both states,HRS,acute,secondary,grouped_cv,-0.0027061776412278,-0.0319412046704387,0.0231511659397985,188,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,268,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""grouped_cv""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,mean,nonoverlap,multiple,188,2016-05-15
4,C Multiple acute histories,Current pre1 instead of earlier pre2,HRS,acute,secondary,temporal,0.1314600024138169,-0.0815904638285785,0.2968646556627926,51,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,298,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C1-C0,mean,nonoverlap,multiple,188,2016-05-15
5,C Multiple acute histories,Add pre2 after current pre1,HRS,acute,secondary,temporal,0.0001352436968562,-0.0010272081783995,0.0017006290220067,51,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,304,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C2-C1,mean,nonoverlap,multiple,188,2016-05-15
6,C Multiple acute histories,History after both states,HRS,acute,secondary,temporal,0.0161584150919226,-0.0358667041830555,0.0659265509383959,51,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,310,"{""analysis"": ""multi_event"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""86f955660f725eac"", ""sample_id"": ""multi_HRS_acute_nonoverlap"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""temporal""}",estimate,n_evaluated,ci_lower;ci_upper,incremental predictive R2,,C3-C2,mean,nonoverlap,multiple,188,2016-05-15
7,A Caregiving acute,Current pre1 instead of earlier pre2,HRS,acute,secondary,grouped_cv,0.0743594606433072,-0.0371239782559006,0.1958761322227532,,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,928,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""9005fb28e10a88ca"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""grouped_cv""}",estimate,,ci_lower;ci_upper,incremental predictive R2,Auxiliary denominator suppressed in the public release; estimate and confidence interval are unchanged.,C1-C0,same_response,same_domain,caregiving,,2014-06-15
8,A Caregiving acute,Add pre2 after current pre1,HRS,acute,secondary,grouped_cv,0.0837895352268462,-0.0738065522487047,0.2076231884872676,,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,934,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""9005fb28e10a88ca"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C2-C1"", ""validation"": ""grouped_cv""}",estimate,,ci_lower;ci_upper,incremental predictive R2,Auxiliary denominator suppressed in the public release; estimate and confidence interval are unchanged.,C2-C1,same_response,same_domain,caregiving,,2014-06-15
9,A Caregiving acute,History after both states,HRS,acute,secondary,grouped_cv,-0.0512253453514661,-0.1115950809123444,-0.0065513729695325,,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,940,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""9005fb28e10a88ca"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C3-C2"", ""validation"": ""grouped_cv""}",estimate,,ci_lower;ci_upper,incremental predictive R2,Auxiliary denominator suppressed in the public release; estimate and confidence interval are unchanged.,C3-C2,same_response,same_domain,caregiving,,2014-06-15
10,A Caregiving acute,Current pre1 instead of earlier pre2,HRS,acute,secondary,temporal,0.0063202182772361,-0.2519236370407083,0.2478004674743763,,source_data/analysis_outputs/NMH_registered_extension/04_recency_benchmark_results.csv,970,"{""analysis"": ""recurrence"", ""cohort"": ""HRS"", ""metric"": ""predictive_r2"", ""row_type"": ""increment"", ""run_id"": ""9005fb28e10a88ca"", ""sample_id"": ""recurrence_HRS_caregiving_acute"", ""scale"": ""standardized"", ""term"": ""C1-C0"", ""validation"": ""temporal""}",estimate,,ci_lower;ci_upper,incremental predictive R2,Auxiliary denominator suppressed in the public release; estimate and confidence interval are unchanged.,C1-C0,same_response,same_domain,caregiving,,2014-06-15
